 region     1        2        3        4        5        6        7        8        9       10       all
 198703 1   2.715    3.115    8.784   12.031   11.693   17.722   17.731   18.649   20.093   23.108   14.608
 198703 2   1.869    2.865    8.446   11.751   11.438   17.595   17.789   19.020   20.411   24.225   14.646
 198703 3   3.249    3.680    9.065   12.550   11.376   18.081   18.257   18.935   20.772   24.292   15.081
 198704 1   3.002    4.234    9.258   13.220   11.755   18.513   18.514   19.530   21.638   25.379   15.578
 198704 2   4.564    5.086   10.396   13.805   13.416   19.209   18.661   20.685   21.862   25.890   16.376
 198704 3   5.114    4.856   11.256   14.332   13.872   19.926   19.037   21.342   22.475   26.574   16.834
 198705 1   5.756    5.417   12.009   15.028   15.469   20.452   19.449   21.752   22.962   27.074   17.451
 198705 2   6.771    6.340   13.373   16.504   15.988   21.293   20.807   22.652   23.473   27.946   18.408
 198705 3   7.897    7.474   14.948   17.226   17.430   22.196   20.781   24.208   24.677   28.536   19.407
 198706 1   9.954    9.820   16.575   18.712   19.773   23.423   21.816   25.329   25.879   28.674   20.798
 198706 2  12.329   11.133   18.574   19.260   21.047   23.707   22.550   25.646   26.351   28.682   21.647
 198706 3  15.436   11.951   20.159   18.947   21.751   24.027   22.625   26.118   26.118   28.860   22.215
 198707 1  17.139   12.474   21.871   19.829   23.450   25.084   23.726   27.331   27.007   29.467   23.332
 198707 2  17.681   13.605   21.439   21.235   23.895   26.255   25.933   27.585   27.945   28.952   24.051
 198707 3  18.829   15.129   22.175   22.791   24.925   27.091   26.937   27.952   28.619   28.869   24.887
 198708 1  19.607   16.845   23.495   23.707   26.470   27.363   26.793   28.268   28.246   29.179   25.483
 198708 2  19.978   17.400   24.056   24.444   27.006   27.955   27.583   28.776   28.660   29.399   26.008
 198708 3  19.907   17.496   24.098   24.130   26.990   28.331   27.481   28.834   29.183   29.512   26.086
 198709 1  17.946   18.000   22.447   24.112   25.630   27.855   27.887   27.874   29.180   28.423   25.460
 198709 2  18.712   18.578   22.607   24.044   24.723   26.981   26.774   27.362   28.380   28.586   25.141
 198709 3  16.382   16.130   21.182   22.533   23.910   26.068   26.437   26.633   27.472   28.549   24.092
 198710 1  15.520   15.407   20.891   21.765   23.205   25.603   26.190   26.450   27.129   28.585   23.667
 198710 2  14.548   14.526   20.117   21.430   22.587   24.815   25.488   26.326   26.466   28.835   23.143
 198710 3  12.702   13.000   19.067   20.432   21.221   24.275   24.570   25.743   26.283   28.046   22.212
 198711 1  10.931   11.598   17.833   19.226   20.228   23.780   24.252   25.274   26.110   27.865   21.460
 198711 2   9.359   11.058   16.797   19.058   19.793   23.202   23.533   24.357   25.441   27.435   20.776
 198711 3   8.250    9.359   16.066   18.730   18.963   22.613   22.943   24.057   25.133   27.307   20.166
 198712 1   4.891    7.097   13.314   17.115   16.477   21.294   22.221   22.619   24.298   26.134   18.472
 198712 2   4.989    7.015   13.245   16.834   15.377   20.656   21.685   21.225   23.209   25.325   17.823
 198712 3   4.985    6.426   13.134   16.192   15.477   20.277   20.767   21.297   22.987   25.325   17.556
 198801 1   3.547    5.832   12.141   15.718   14.931   20.474   20.664   20.912   22.780   25.148   17.125
 198801 2   3.251    4.909   11.555   15.244   13.993   20.003   20.015   20.404   22.322   24.881   16.606
 198801 3   3.114    4.178   10.624   14.826   12.982   19.241   19.108   20.146   21.902   24.822   16.070
 198802 1   2.316    3.666    9.807   14.060   12.360   18.873   18.975   19.739   21.741   25.213   15.717
 198802 2   2.523    4.000    9.383   13.466   11.963   18.790   18.563   19.801   21.456   24.943   15.558
 198802 3   2.511    4.001    8.707   12.898   10.981   18.466   18.121   18.872   21.441   24.586   15.124
 198803 1   2.148    3.233    8.931   12.359   10.907   18.177   17.708   19.043   21.129   24.701   14.917
 198803 2   3.034    3.205    9.490   12.581   11.919   18.561   18.196   19.971   21.509   25.511   15.495
 198803 3   3.295    3.059    9.762   12.483   12.128   19.054   18.423   20.012   21.612   25.880   15.675
 198804 1   4.355    3.755   10.230   13.513   12.811   19.477   18.548   20.187   21.440   25.189   15.992
 198804 2   5.081    4.696   10.739   14.513   13.450   19.259   18.133   20.381   21.322   25.095   16.240
 198804 3   6.148    5.253   11.849   15.406   14.252   20.249   19.621   21.302   21.680   26.423   17.140
 198805 1   6.960    5.803   12.911   16.078   15.486   20.855   19.636   22.299   22.488   27.226   17.833
 198805 2   8.138    6.525   13.892   16.937   16.807   21.345   19.777   22.828   22.763   27.766   18.498
 198805 3   9.552    7.870   15.348   18.228   18.513   22.384   20.984   24.075   23.480   28.415   19.678
 198806 1  12.256   10.239   16.835   19.333   19.807   23.099   21.656   25.042   24.170   28.252   20.762
 198806 2  12.822   10.869   18.134   19.790   21.154   23.278   22.067   25.968   25.374   28.787   21.527
 198806 3  15.692   13.276   19.549   20.920   22.172   24.224   22.877   26.984   26.245   29.360   22.746
 198807 1  17.731   14.583   20.932   21.616   24.512   25.859   23.548   28.509   27.509   30.182   24.081
 198807 2  18.707   14.047   21.992   22.161   26.711   26.941   25.158   29.104   28.735   29.886   24.943
 198807 3  19.564   15.357   22.403   22.470   26.231   26.895   26.227   28.791   28.763   29.970   25.229
 198808 1  21.394   16.490   24.230   23.474   26.791   27.183   26.624   29.206   28.313   29.612   25.795
 198808 2  22.861   17.649   25.689   24.083   27.529   27.330   27.365   28.623   27.554   29.052   26.137
 198808 3  22.353   19.198   25.608   25.496   27.010   28.096   27.051   28.616   28.211   29.913   26.514
 198809 1  20.788   18.446   24.528   25.164   26.041   27.508   26.846   28.337   28.010   29.765   25.958
 198809 2  20.120   17.588   23.554   24.210   25.488   27.101   27.305   28.182   28.557   29.817   25.676
 198809 3  19.164   16.794   22.540   22.752   24.225   26.634   26.739   27.117   28.396   29.110   24.848
 198810 1  17.023   16.019   20.954   22.206   23.168   25.584   26.319   26.003   27.547   27.960   23.817
 198810 2  14.462   13.964   19.574   21.061   22.203   24.861   25.504   25.459   26.608   27.908   22.784
 198810 3  13.275   12.493   18.751   19.956   21.001   24.071   24.102   25.125   26.130   27.503   21.895
 198811 1  10.903   10.839   16.915   18.117   19.955   23.000   23.173   24.009   25.138   26.475   20.565
 198811 2   8.997    9.644   15.746   17.934   18.876   22.575   22.811   23.436   24.625   26.078   19.838
 198811 3   7.705    8.567   14.789   16.683   17.808   21.642   21.756   22.443   23.659   25.727   18.863
 198812 1   6.589    7.593   13.889   15.959   16.339   20.836   20.620   21.593   22.766   24.837   17.887
 198812 2   4.921    6.717   12.517   15.535   14.898   20.292   20.287   20.571   22.280   24.080   17.029
 198812 3   3.520    5.786   11.510   14.942   14.418   19.782   20.049   20.572   21.981   23.829   16.514
 198901 1   3.880    5.268   11.672   14.201   13.768   19.866   19.988   20.326   21.247   23.640   16.235
 198901 2   3.601    4.232   11.531   13.592   13.320   19.862   19.625   20.335   21.248   23.939   16.006
 198901 3   3.431    3.952   11.076   13.418   12.663   19.487   18.925   19.605   20.916   23.472   15.586
 198902 1   3.126    3.395   10.412   13.006   11.689   18.998   18.542   19.131   20.665   23.229   15.143
 198902 2   3.384    3.512   10.509   12.993   11.894   18.961   18.328   18.975   20.250   23.813   15.226
 198902 3   3.355    3.844   10.210   12.421   11.814   19.043   18.350   19.120   20.545   23.729   15.202
 198903 1   3.153    3.251   10.019   12.466   11.705   19.136   18.616   18.812   20.682   23.443   15.068
 198903 2   3.011    2.946    9.634   12.210   11.732   18.662   18.600   18.871   20.532   23.424   14.928
 198903 3   3.763    3.061   10.174   12.715   12.602   18.465   18.354   19.242   20.358   23.352   15.157
 198904 1   4.701    3.824   11.130   13.333   13.829   19.236   18.342   20.144   21.266   24.820   15.992
 198904 2   5.272    4.302   11.802   14.339   14.244   19.929   18.699   20.816   21.736   25.488   16.586
 198904 3   6.093    4.341   12.416   14.429   15.056   20.130   18.906   21.758   21.923   25.646   16.962
 198905 1   6.955    4.051   13.035   14.167   15.481   20.436   19.251   21.880   22.698   26.510   17.323
 198905 2   8.719    6.001   14.309   15.686   16.325   20.914   19.919   22.590   24.046   27.289   18.414
 198905 3  10.130    7.699   15.750   16.963   17.785   21.987   20.645   23.641   24.825   27.618   19.489
 198906 1  11.040    8.686   16.926   17.761   19.447   22.553   21.171   25.019   25.015   28.409   20.372
 198906 2  11.927    9.062   17.959   18.314   20.254   23.225   21.876   25.616   25.845   29.361   21.117
 198906 3  13.626   11.048   18.914   19.207   21.715   24.239   23.219   26.067   26.663   28.903   22.069
 198907 1  15.030   12.249   19.717   19.911   22.813   25.046   24.179   27.235   27.602   29.642   23.040
 198907 2  16.840   13.462   21.440   20.905   24.906   26.649   25.256   28.387   28.649   29.674   24.264
 198907 3  20.032   16.725   23.875   23.299   25.953   26.945   26.942   27.973   27.800   29.256   25.348
 198908 1  21.595   19.784   24.440   24.740   25.691   26.866   26.440   27.918   27.521   29.207   25.770
 198908 2  22.367   20.211   24.920   25.021   26.342   27.700   26.646   28.707   28.651   29.686   26.379
 198908 3  22.159   18.093   24.924   24.326   26.300   27.923   26.934   28.407   28.455   29.207   26.056
 198909 1  21.212   18.629   24.135   25.109   26.391   27.616   27.628   28.677   28.114   29.613   26.136
 198909 2  20.193   18.215   23.477   24.754   25.630   27.792   27.537   27.791   28.192   28.607   25.649
